ConditionTypeText	BodyColorText	ID	MakeText	ModelText	ModelTypeText	TypeName	TypeNameFull	BodyTypeText	Ccm	City	Co2EmissionText	ConsumptionRatingText	ConsumptionTotalText	Doors	DriveTypeText	FirstRegMonth	FirstRegYear	FuelTypeText	Hp	InteriorColorText	Km	Properties	Seats	TransmissionTypeText	BodyColorTextShort	BodyColorTextEng	ConditionTypeTextEng	MakeTextNorm	extracted-value-ConsumptionTotalText	extracted-unit-ConsumptionTotalText
Occasion	silber mét.	1021.0	RENAULT	Alpine A110	Alpine A110 1300S	1300S	RENAULT Alpine A110 1300S	Coupé	1296	Zuzwil	null	null	null	2	Hinterradantrieb	9	1969	Benzin	0	schwarz	9999	"\"Ab MFK\""	0	Schaltgetriebe	silber	Silver	Occasion	Renault	null	""
Occasion	silber mét.	1022.0	MASERATI	COUPÉ GT	Coupé GT	Coupé GT	MASERATI Coupé GT	Coupé	4244	Zuzwil	400 g/km	null	17.5 l/100km	2	Hinterradantrieb	6	2002	Benzin	390	braun	62300	"\"Ab MFK\""	4	Automatik-Getriebe	silber	Silver	Occasion	Maserati	17.5	l/100km
Oldtimer	silber mét.	1023.0	RENAULT	ALPINE	ALPINE 1600 VF	1600 VF	RENAULT ALPINE 1600 VF	Coupé	1605	Zuzwil	null	null	null	2	Hinterradantrieb	8	1976	Benzin	140	schwarz	42940	"\"Ab MFK\""	4	Schaltgetriebe	silber	Silver	Antique Car	Renault	null	""
Occasion	silber mét.	1024.0	AUDI	A8	A8 4.2 quattro	A8 4.2 quattro	AUDI A8 4.2 quattro	Limousine	4172	Zuzwil	288 g/km	G	12.0 l/100km	4	Allrad	8	2002	Benzin	335	grau	35100	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Audi	12.0	l/100km
Occasion	silber mét.	1025.0	CHEVROLET	CORVETTE	Corvette Z06	Corvette Z06	CHEVROLET Corvette Z06	Coupé	7011	Zuzwil	350 g/km	G	14.7 l/100km	2	Hinterradantrieb	3	2010	Benzin	512	schwarz	24000	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Chevrolet	14.7	l/100km
Occasion	silber mét.	1026.0	TOYOTA	COROLLA	Corolla 1600 GTi TC16	Corolla 1600 GTi TC16	TOYOTA Corolla 1600 GTi TC16	Coupé	1587	Zuzwil	null	null	null	3	Hinterradantrieb	12	1986	Benzin	116	schwarz	101400	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Toyota	null	""
Occasion	silber mét.	1027.0	MERCEDES-BENZ	CLK 55 AMG	CLK 55 AMG Avantgarde	CLK 55 AMG Avantgarde	MERCEDES-BENZ CLK 55 AMG Avantgarde	Coupé	5439	Zuzwil	281 g/km	G	11.7 l/100km	2	Hinterradantrieb	6	2000	Benzin	347	schwarz	79500	"\"Ab MFK\""	4	Automat	silber	Silver	Occasion	Mercedes-benz	11.7	l/100km
Occasion	silber mét.	1028.0	AUDI	S7	S7 Sportback 4.0 TFSI V8 quattro	S7 Sportback 4.0 TFSI V8 quattro	AUDI S7 Sportback 4.0 TFSI V8 quattro	Limousine	3993	Zuzwil	225 g/km	G	9.6 l/100km	5	Allrad	3	2014	Benzin	420	schwarz	3600	"\"Ab MFK\", \"Direkt-/Parallelimport\""	4	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Audi	9.6	l/100km
Occasion	silber mét.	1029.0	BENTLEY	ARNAGE	Arnage T	Arnage T	BENTLEY Arnage T	Limousine	6761	Basel	495 g/km	G	20.6 l/100km	4	Hinterradantrieb	3	2006	Benzin	457	schwarz	15600	null	5	Automat	silber	Silver	Occasion	Bentley	20.6	l/100km
Occasion	blau mét.	103.0	AUDI	RS4	RS4 4.2 V8 quattro	RS4 4.2 V8 quattro	AUDI RS4 4.2 V8 quattro	Limousine	4163	Zuzwil	324 g/km	G	13.5 l/100km	4	Allrad	5	2006	Benzin	420	mehrfarbig	108200	"\"Ab MFK\""	5	Schaltgetriebe manuell	blau	Blue	Occasion	Audi	13.5	l/100km
Occasion	silber mét.	1030.0	MERCEDES-BENZ	E 55 AMG	E 55 AMG Avantgarde	E 55 AMG Avantgarde	MERCEDES-BENZ E 55 AMG Avantgarde	Limousine	5439	Zuzwil	310 g/km	G	12.9 l/100km	4	Hinterradantrieb	10	2002	Benzin	476	schwarz	52400	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Mercedes-benz	12.9	l/100km
Occasion	silber mét.	1031.0	PORSCHE	911	911 Turbo	911 Turbo	PORSCHE 911 Turbo	Coupé	3600	Zuzwil	309 g/km	G	12.9 l/100km	2	Allrad	5	2001	Benzin	420	blau	60800	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	12.9	l/100km
Occasion	silber mét.	1032.0	BMW	645	645i	645i	BMW 645i	Coupé	4398	Zuzwil	283 g/km	null	11.7 l/100km	2	Hinterradantrieb	1	2004	Benzin	333	schwarz	79100	"\"Ab MFK\""	4	Automatik-Getriebe	silber	Silver	Occasion	Bmw	11.7	l/100km
Occasion	silber mét.	1033.0	PORSCHE	911	911 GT3	911 GT3	PORSCHE 911 GT3	Coupé	3600	Zuzwil	320 g/km	null	12.9 l/100km	2	Hinterradantrieb	1	2000	Benzin	360	schwarz	77000	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	12.9	l/100km
Occasion	silber mét.	1034.0	MERCEDES-BENZ	E 420	E 420 Avantgarde	E 420 Avantgarde	MERCEDES-BENZ E 420 Avantgarde	Limousine	4196	Zuzwil	326 g/km	null	14.3 l/100km	4	Hinterradantrieb	11	1996	Benzin	279	schwarz	87800	"\"Ab MFK\""	5	Automat	silber	Silver	Occasion	Mercedes-benz	14.3	l/100km
Occasion	silber mét.	1035.0	PORSCHE	911	911 Carrera 4 S	911 Carrera 4 S	PORSCHE 911 Carrera 4 S	Coupé	3596	Zuzwil	277 g/km	G	11.4 l/100km	2	Allrad	3	2002	Benzin	320	blau	68100	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	11.4	l/100km
Occasion	silber mét.	1036.0	ASTON MARTIN	DB9	DB9 Volante	DB9 Volante	ASTON MARTIN DB9 Volante	Cabriolet	5935	Zuzwil	333 g/km	G	14.3 l/100km	2	Hinterradantrieb	5	2013	Benzin	518	schwarz	17000	"\"Ab MFK\""	4	Automat sequentiell	silber	Silver	Occasion	Aston Martin	14.3	l/100km
Occasion	silber mét.	1037.0	TRIUMPH	Dolomite	Dolomite Sprint	Sprint	TRIUMPH Dolomite Sprint	Limousine	1997	Zuzwil	null	null	null	4	Hinterradantrieb	7	1977	Benzin	128	schwarz	12800	"\"Ab MFK\""	5	Schaltgetriebe manuell	silber	Silver	Occasion	Triumph	null	""
Occasion	silber mét.	1038.0	MERCEDES-BENZ	SL 500	SL 500	SL 500	MERCEDES-BENZ SL 500	Cabriolet	4973	Zuzwil	340 g/km	null	14.3 l/100km	2	Hinterradantrieb	6	1996	Benzin	320	beige	74400	"\"Ab MFK\""	0	Automat	silber	Silver	Occasion	Mercedes-benz	14.3	l/100km
Occasion	silber mét.	1039.0	BMW	M6	M6	M6	BMW M6	Cabriolet	4999	Zuzwil	366 g/km	G	15.2 l/100km	2	Hinterradantrieb	2	2007	Benzin	507	weiss	32000	"\"Ab MFK\""	4	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Bmw	15.2	l/100km
Occasion	blau mét.	104.0	AUDI	RS4	RS4 Avant quattro	RS4 Avant quattro	AUDI RS4 Avant quattro	Kombi	2671	Zuzwil	288 g/km	G	12.0 l/100km	5	Allrad	7	2001	Benzin	380	schwarz	57500	"\"Ab MFK\""	5	Schaltgetriebe manuell	blau	Blue	Occasion	Audi	12.0	l/100km
Occasion	silber mét.	1040.0	PORSCHE	911	911 GT2	911 GT2	PORSCHE 911 GT2	Coupé	3600	Zuzwil	309 g/km	G	12.9 l/100km	2	Hinterradantrieb	11	2001	Benzin	462	schwarz	49900	null	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	12.9	l/100km
Occasion	silber mét.	1041.0	RENAULT	ALPINE	Alpine A310 V6	Alpine A310 V6	RENAULT Alpine A310 V6	Coupé	2664	Zuzwil	null	null	null	2	Hinterradantrieb	3	1983	Benzin	150	beige	69000	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Renault	null	""
Oldtimer	silber mét.	1042.0	TOYOTA	CELICA	CELICA 1600 GT DOHC	1600 GT DOHC	TOYOTA CELICA 1600 GT DOHC	Coupé	1588	Zuzwil	null	null	null	2	Hinterradantrieb	10	1981	Benzin	107	beige	79300	"\"Ab MFK\""	5	Schaltgetriebe	silber	Silver	Antique Car	Toyota	null	""
Occasion	silber mét.	1043.0	VW	PHAETON	Phaeton 6.0 W12 4Motion	Phaeton 6.0 W12 4Motion	VW Phaeton 6.0 W12 4Motion	Limousine	5998	Zuzwil	374 g/km	G	15.6 l/100km	4	Allrad	11	2002	Benzin	420	grau	31300	"\"Ab MFK\""	4	Automat sequentiell	silber	Silver	Occasion	Vw	15.6	l/100km
Occasion	silber mét.	1044.0	FERRARI	F430	F430 Scuderia	F430 Scuderia	FERRARI F430 Scuderia	Coupé	4308	Zuzwil	360 g/km	G	15.7 l/100km	2	Hinterradantrieb	3	2008	Benzin	506	schwarz	19999	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Ferrari	15.7	l/100km
Occasion	silber mét.	1045.0	MERCEDES-BENZ	190	190 E 2.5-16 ABS	190 E 2.5-16 ABS	MERCEDES-BENZ 190 E 2.5-16 ABS	Limousine	2497	Zuzwil	null	null	null	4	Hinterradantrieb	4	1992	Benzin	195	null	152000	"\"Ab MFK\""	5	Schaltgetriebe manuell	silber	Silver	Occasion	Mercedes-benz	null	""
Occasion	silber mét.	1046.0	BMW	750	750i	750i	BMW 750i	Limousine	5379	Zuzwil	327 g/km	null	14.2 l/100km	4	Hinterradantrieb	3	1997	Benzin	327	schwarz	69600	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Bmw	14.2	l/100km
Occasion	silber mét.	1047.0	PORSCHE	911	911 Carrera S	911 Carrera S	PORSCHE 911 Carrera S	Coupé	3824	Zuzwil	277 g/km	G	11.5 l/100km	2	Hinterradantrieb	8	2005	Benzin	355	schwarz	39400	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	11.5	l/100km
Occasion	silber mét.	1048.0	FERRARI	MONDIAL	Mondial 3.4 T	Mondial 3.4 T	FERRARI Mondial 3.4 T	Coupé	3402	Zuzwil	null	null	null	2	Hinterradantrieb	5	1992	Benzin	286	null	16500	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Ferrari	null	""
Occasion	silber mét.	1049.0	BMW	X5	X5 4.4i	X5 4.4i	BMW X5 4.4i	SUV / Geländewagen	4398	Zuzwil	335 g/km	G	13.9 l/100km	5	Allrad	3	2002	Benzin	286	beige	60100	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Bmw	13.9	l/100km
Occasion	blau mét.	105.0	FERRARI	F12	F12 Berlinetta	F12 Berlinetta	FERRARI F12 Berlinetta	Coupé	6262	Zuzwil	350 g/km	G	15.0 l/100km	3	Hinterradantrieb	1	2013	Benzin	736	braun	12000	"\"Direkt-/Parallelimport\""	2	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Ferrari	15.0	l/100km
Occasion	silber mét.	1050.0	FORD	ESCORT	ESCORT RS 2000	RS 2000	FORD ESCORT RS 2000	Coupé	1993	Zuzwil	null	null	null	3	Hinterradantrieb	3	1978	Benzin	110	schwarz	96600	null	5	Schaltgetriebe	silber	Silver	Occasion	Ford	null	""
Occasion	silber mét.	1051.0	MERCEDES-BENZ	SL 320	SL 320	SL 320	MERCEDES-BENZ SL 320	Cabriolet	3199	Zuzwil	274 g/km	G	11.5 l/100km	2	Hinterradantrieb	8	1999	Benzin	224	null	83600	"\"Ab MFK\""	2	Automat	silber	Silver	Occasion	Mercedes-benz	11.5	l/100km
Occasion	silber mét.	1052.0	PORSCHE	911	911 Carrera 4S	911 Carrera 4S	PORSCHE 911 Carrera 4S	Coupé	3824	Zuzwil	285 g/km	G	11.8 l/100km	2	Allrad	2	2006	Benzin	355	schwarz	101200	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	11.8	l/100km
Occasion	silber mét.	1053.0	TOYOTA	LAND CRUISER	LAND CRUISER FJ 40	FJ 40	TOYOTA LAND CRUISER FJ 40	SUV / Geländewagen	4228	Zuzwil	null	null	null	3	Allrad	2	1982	Benzin	135	grau	5000	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Toyota	null	""
Occasion	silber mét.	1054.0	MERCEDES-BENZ	SL 500	SL 500	SL 500	MERCEDES-BENZ SL 500	Cabriolet	4973	Zuzwil	328 g/km	null	14.3 l/100km	2	Hinterradantrieb	10	1996	Benzin	320	schwarz	27600	"\"Ab MFK\""	0	Automat	silber	Silver	Occasion	Mercedes-benz	14.3	l/100km
Occasion	silber mét.	1055.0	RENAULT	Alpine A110	Alpine A110 1600S	1600S	RENAULT Alpine A110 1600S	Coupé	1564	Zuzwil	null	null	null	2	Hinterradantrieb	3	1970	Benzin	124	beige	57700	"\"Ab MFK\""	2	Schaltgetriebe	silber	Silver	Occasion	Renault	null	""
Occasion	silber mét.	1056.0	DATSUN	280	280 ZX	ZX	DATSUN 280 ZX	Coupé	2753	Zuzwil	null	null	null	3	Hinterradantrieb	3	1981	Benzin	140	rot	50300	"\"Ab MFK\""	2	Schaltgetriebe	silber	Silver	Occasion	Datsun	null	""
Occasion	silber mét.	1057.0	PORSCHE	911	911 GT2	911 GT2	PORSCHE 911 GT2	Coupé	3600	Zuzwil	309 g/km	G	12.9 l/100km	2	Hinterradantrieb	9	2001	Benzin	462	schwarz	53400	"\"Ab MFK\""	4	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	12.9	l/100km
Occasion	silber mét.	1058.0	LAMBORGHINI	MURCIÉLAGO	Murciélago 6.2 Coupé	Murciélago 6.2 Coupé	LAMBORGHINI Murciélago 6.2 Coupé	Coupé	6192	Porrentruy	500 g/km	G	21.5 l/100km	2	Allrad	2	2003	Benzin	580	null	9000	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Lamborghini	21.5	l/100km
